# Solver information
# Time          	U_solver        	Ux_initial      	Ux_final        	Ux_iters        	Uy_initial      	Uy_final        	Uy_iters        	U_converged     	k_solver        	k_initial       	k_final         	k_iters         	k_converged     	p_solver        	p_initial       	p_final         	p_iters         	p_converged     	omega_solver    	omega_initial   	omega_final     	omega_iters     	omega_converged 
5068            	DILUPBiCGStab	4.44287920e-05	2.32869120e-07	1	7.95641860e-04	3.96969880e-06	1	false	DILUPBiCGStab	1.25611260e-04	1.71100430e-06	1	true	GAMG	2.46561890e-03	1.93587170e-05	7	true	DILUPBiCGStab	2.16525150e-06	4.74263350e-11	1	true
5069            	DILUPBiCGStab	4.33844240e-05	2.05970290e-07	1	6.94739480e-04	3.67672370e-06	1	false	DILUPBiCGStab	1.25649150e-04	1.71179890e-06	1	true	GAMG	2.14860450e-03	2.06137020e-05	9	true	DILUPBiCGStab	2.16523580e-06	4.74476350e-11	1	true
5070            	DILUPBiCGStab	4.31673250e-05	2.03506880e-07	1	5.49575640e-04	3.45482490e-06	1	false	DILUPBiCGStab	1.25720840e-04	1.71311820e-06	1	true	GAMG	2.09403030e-03	1.86540850e-05	11	true	DILUPBiCGStab	2.16540580e-06	4.74584140e-11	1	true
5071            	DILUPBiCGStab	4.29839400e-05	2.01479410e-07	1	5.16638030e-04	2.82696320e-06	1	false	DILUPBiCGStab	1.25653190e-04	1.71252450e-06	1	true	GAMG	1.86007470e-03	1.12139640e-05	9	true	DILUPBiCGStab	2.16540870e-06	4.74324490e-11	1	true
5072            	DILUPBiCGStab	4.28577780e-05	2.00443170e-07	1	5.60586840e-04	3.05531760e-06	1	false	DILUPBiCGStab	1.25513100e-04	1.71093990e-06	1	true	GAMG	1.67908740e-03	1.60418610e-05	7	true	DILUPBiCGStab	2.16546420e-06	4.74307880e-11	1	true
5073            	DILUPBiCGStab	4.27966400e-05	2.01262920e-07	1	6.32131720e-04	4.29036630e-06	1	false	DILUPBiCGStab	1.25126890e-04	1.70602100e-06	1	true	GAMG	1.70674930e-03	1.22457100e-05	7	true	DILUPBiCGStab	2.16513230e-06	4.74283740e-11	1	true
5074            	DILUPBiCGStab	4.29447120e-05	2.05716990e-07	1	6.33884900e-04	4.95284620e-06	1	false	DILUPBiCGStab	1.25033560e-04	1.70505200e-06	1	true	GAMG	1.86883580e-03	1.82875690e-05	7	true	DILUPBiCGStab	2.16526080e-06	4.74301610e-11	1	true
5075            	DILUPBiCGStab	4.30461210e-05	2.06234720e-07	1	5.78226190e-04	3.62991880e-06	1	false	DILUPBiCGStab	1.25178370e-04	1.70728880e-06	1	true	GAMG	1.82016090e-03	1.41991230e-05	8	true	DILUPBiCGStab	2.16572640e-06	4.74319050e-11	1	true
5076            	DILUPBiCGStab	4.30313140e-05	2.03904640e-07	1	5.49818620e-04	3.20364810e-06	1	false	DILUPBiCGStab	1.25293270e-04	1.70908600e-06	1	true	GAMG	1.36932980e-03	7.03033560e-06	8	true	DILUPBiCGStab	2.16609040e-06	4.74447250e-11	1	true
5077            	DILUPBiCGStab	4.29016690e-05	2.03195240e-07	1	5.08158000e-04	3.13975920e-06	1	false	DILUPBiCGStab	1.25216970e-04	1.70827350e-06	1	true	GAMG	1.42053790e-03	6.32163590e-06	9	true	DILUPBiCGStab	2.16608040e-06	4.74521290e-11	1	true
5078            	DILUPBiCGStab	4.51985180e-05	2.59053720e-07	1	7.40937170e-04	3.82424240e-06	1	false	DILUPBiCGStab	1.25042160e-04	1.70606530e-06	1	true	GAMG	2.39204800e-03	1.88105720e-05	9	true	DILUPBiCGStab	2.16590850e-06	4.74592350e-11	1	true
5079            	DILUPBiCGStab	4.57456380e-05	2.65207160e-07	1	8.21547970e-04	4.23280890e-06	1	false	DILUPBiCGStab	1.24982320e-04	1.70543860e-06	1	true	GAMG	2.66350600e-03	1.92856300e-05	10	true	DILUPBiCGStab	2.16584350e-06	4.74764050e-11	1	true
5080            	DILUPBiCGStab	4.35925360e-05	2.11381440e-07	1	6.64108640e-04	3.18956560e-06	1	false	DILUPBiCGStab	1.25182930e-04	1.70835330e-06	1	true	GAMG	2.25919810e-03	2.21843120e-05	7	true	DILUPBiCGStab	2.16606710e-06	4.75010260e-11	1	true
5081            	DILUPBiCGStab	4.38574890e-05	2.11760700e-07	1	5.73310490e-04	3.02388710e-06	1	false	DILUPBiCGStab	1.25194470e-04	1.70875660e-06	1	true	GAMG	2.69466230e-03	1.94230570e-05	9	true	DILUPBiCGStab	2.16590100e-06	4.75143970e-11	1	true
5082            	DILUPBiCGStab	4.30860910e-05	2.02812300e-07	1	5.06532270e-04	2.85896120e-06	1	false	DILUPBiCGStab	1.25225670e-04	1.70948910e-06	1	true	GAMG	2.03138570e-03	1.78611950e-05	11	true	DILUPBiCGStab	2.16584180e-06	4.75156860e-11	1	true
5083            	DILUPBiCGStab	4.27956260e-05	2.01879260e-07	1	5.96584660e-04	3.72724470e-06	1	false	DILUPBiCGStab	1.24966370e-04	1.70625650e-06	1	true	GAMG	2.05574810e-03	1.94629930e-05	9	true	DILUPBiCGStab	2.16537390e-06	4.75084870e-11	1	true
